lago,fecha,par,metodo,muestra,n,coeficiente,p_valor
amatitlan,2025-01-28,CYA~NDVI,pearson,completa,35059,0.292081202756513,0.0
amatitlan,2025-01-28,CYA~NDVI,pearson_log10,completa,35059,0.4614489800681381,0.0
amatitlan,2025-01-28,CYA~NDVI,spearman,completa,35059,0.50352897261143,0.0
amatitlan,2025-01-28,CYA~NDVI,pearson,submuestra,1404,0.43741760989065864,1.0775321001750953e-66
amatitlan,2025-01-28,CYA~NDVI,pearson_log10,submuestra,1404,0.4962790086633701,3.555221642151987e-88
amatitlan,2025-01-28,CYA~NDVI,spearman,submuestra,1404,0.5344962319964995,1.4996223954981597e-104
amatitlan,2025-01-28,CYA~NDWI,pearson,completa,35059,-0.29219103285689735,0.0
amatitlan,2025-01-28,CYA~NDWI,pearson_log10,completa,35059,-0.40806162672353946,0.0
amatitlan,2025-01-28,CYA~NDWI,spearman,completa,35059,-0.4136257578791786,0.0
amatitlan,2025-01-28,CYA~NDWI,pearson,submuestra,1404,-0.4026928846606933,7.199274395558007e-56
amatitlan,2025-01-28,CYA~NDWI,pearson_log10,submuestra,1404,-0.43060323804117145,1.811068101573552e-64
amatitlan,2025-01-28,CYA~NDWI,spearman,submuestra,1404,-0.43200799629340225,6.357875276684699e-65
amatitlan,2025-04-15,CYA~NDVI,pearson,completa,36296,0.3170302776550204,0.0
amatitlan,2025-04-15,CYA~NDVI,pearson_log10,completa,36296,0.34977834459785506,0.0
amatitlan,2025-04-15,CYA~NDVI,spearman,completa,36296,0.28384445800392283,0.0
amatitlan,2025-04-15,CYA~NDVI,pearson,submuestra,1455,0.34194184532159444,3.5651702270880514e-41
amatitlan,2025-04-15,CYA~NDVI,pearson_log10,submuestra,1455,0.3844302390430624,1.8949154142713553e-52
amatitlan,2025-04-15,CYA~NDVI,spearman,submuestra,1455,0.2934642187518652,2.726585524117904e-30
amatitlan,2025-04-15,CYA~NDWI,pearson,completa,36296,-0.5794188704563692,0.0
amatitlan,2025-04-15,CYA~NDWI,pearson_log10,completa,36296,-0.6312831825137234,0.0
amatitlan,2025-04-15,CYA~NDWI,spearman,completa,36296,-0.5353191011077104,0.0
amatitlan,2025-04-15,CYA~NDWI,pearson,submuestra,1455,-0.593070319675128,6.117680749081658e-139
amatitlan,2025-04-15,CYA~NDWI,pearson_log10,submuestra,1455,-0.6485155183122819,2.124795416999049e-174
amatitlan,2025-04-15,CYA~NDWI,spearman,submuestra,1455,-0.5418989925391368,7.889950879368589e-112
amatitlan,2025-04-28,CYA~NDVI,pearson,completa,35085,0.10758977636297007,7.898407592186722e-91
amatitlan,2025-04-28,CYA~NDVI,pearson_log10,completa,35085,0.0928982110349487,4.257728135621757e-68
amatitlan,2025-04-28,CYA~NDVI,spearman,completa,35085,0.027758920296341045,1.9892702411886143e-07
amatitlan,2025-04-28,CYA~NDVI,pearson,submuestra,1411,0.11009515652045114,3.405942932965827e-05
amatitlan,2025-04-28,CYA~NDVI,pearson_log10,submuestra,1411,0.09584119843283687,0.0003118875296703701
amatitlan,2025-04-28,CYA~NDVI,spearman,submuestra,1411,0.026967092866833742,0.311414333927462
amatitlan,2025-04-28,CYA~NDWI,pearson,completa,35085,-0.28376263966510096,0.0
amatitlan,2025-04-28,CYA~NDWI,pearson_log10,completa,35085,-0.2727808792410863,0.0
amatitlan,2025-04-28,CYA~NDWI,spearman,completa,35085,-0.18343219525391363,4.1904603457142074e-263
amatitlan,2025-04-28,CYA~NDWI,pearson,submuestra,1411,-0.2814273322879262,4.2515624462158466e-27
amatitlan,2025-04-28,CYA~NDWI,pearson_log10,submuestra,1411,-0.26838739893733704,1.05155674254271e-24
amatitlan,2025-04-28,CYA~NDWI,spearman,submuestra,1411,-0.18246385307952953,4.9879813107585395e-12
amatitlan,2025-11-24,CYA~NDVI,pearson,completa,34563,0.08046735532190284,9.405913349530632e-51
amatitlan,2025-11-24,CYA~NDVI,pearson_log10,completa,34563,0.247380509094216,0.0
amatitlan,2025-11-24,CYA~NDVI,spearman,completa,34563,0.2608579355139216,0.0
amatitlan,2025-11-24,CYA~NDVI,pearson,submuestra,1382,0.07914464767386167,0.0032381180244131376
amatitlan,2025-11-24,CYA~NDVI,pearson_log10,submuestra,1382,0.24849122035263219,6.799087843364784e-21
amatitlan,2025-11-24,CYA~NDVI,spearman,submuestra,1382,0.2699981430550534,1.638013530478669e-24
amatitlan,2025-11-24,CYA~NDWI,pearson,completa,34563,-0.018356169442271628,0.0006430315871173273
amatitlan,2025-11-24,CYA~NDWI,pearson_log10,completa,34563,-0.15332575010744745,8.133202112535214e-181
amatitlan,2025-11-24,CYA~NDWI,spearman,completa,34563,-0.18124298355973859,5.1034118221354657e-253
amatitlan,2025-11-24,CYA~NDWI,pearson,submuestra,1382,-0.009661983648379004,0.7196922524239088
amatitlan,2025-11-24,CYA~NDWI,pearson_log10,submuestra,1382,-0.15417097648571385,8.379893152058673e-09
amatitlan,2025-11-24,CYA~NDWI,spearman,submuestra,1382,-0.19175181697317437,6.537225579335641e-13
amatitlan,2026-01-08,CYA~NDVI,pearson,completa,33410,0.41354835689101155,0.0
amatitlan,2026-01-08,CYA~NDVI,pearson_log10,completa,33410,0.6079619258893247,0.0
amatitlan,2026-01-08,CYA~NDVI,spearman,completa,33410,0.6145561397565604,0.0
amatitlan,2026-01-08,CYA~NDVI,pearson,submuestra,1329,0.5799180494471451,2.8350980584565418e-120
amatitlan,2026-01-08,CYA~NDVI,pearson_log10,submuestra,1329,0.599019384619347,3.1024886529228744e-130
amatitlan,2026-01-08,CYA~NDVI,spearman,submuestra,1329,0.6169133595776682,3.3953975282681905e-140
amatitlan,2026-01-08,CYA~NDWI,pearson,completa,33410,-0.4300389880192128,0.0
amatitlan,2026-01-08,CYA~NDWI,pearson_log10,completa,33410,-0.5892577927561433,0.0
amatitlan,2026-01-08,CYA~NDWI,spearman,completa,33410,-0.5817993993563848,0.0
amatitlan,2026-01-08,CYA~NDWI,pearson,submuestra,1329,-0.5754829348429427,4.700663654447158e-118
amatitlan,2026-01-08,CYA~NDWI,pearson_log10,submuestra,1329,-0.5730978124685213,7.109411260774231e-117
amatitlan,2026-01-08,CYA~NDWI,spearman,submuestra,1329,-0.5782689970514101,1.9135003392490314e-119
amatitlan,2026-02-02,CYA~NDVI,pearson,completa,33363,0.22107986853809108,0.0
amatitlan,2026-02-02,CYA~NDVI,pearson_log10,completa,33363,0.33283621638682104,0.0
amatitlan,2026-02-02,CYA~NDVI,spearman,completa,33363,0.4032205880850952,0.0
amatitlan,2026-02-02,CYA~NDVI,pearson,submuestra,1335,0.2785805272977182,3.215044893131525e-25
amatitlan,2026-02-02,CYA~NDVI,pearson_log10,submuestra,1335,0.33172143084442546,1.1797708325443792e-35
amatitlan,2026-02-02,CYA~NDVI,spearman,submuestra,1335,0.4226979645727365,5.453942751012942e-59
amatitlan,2026-02-02,CYA~NDWI,pearson,completa,33363,-0.31058693619547195,0.0
amatitlan,2026-02-02,CYA~NDWI,pearson_log10,completa,33363,-0.4717142583543917,0.0
amatitlan,2026-02-02,CYA~NDWI,spearman,completa,33363,-0.5454762929169221,0.0
amatitlan,2026-02-02,CYA~NDWI,pearson,submuestra,1335,-0.38852425128459167,2.4091484541037757e-49
amatitlan,2026-02-02,CYA~NDWI,pearson_log10,submuestra,1335,-0.47338745094080753,1.6605553242063325e-75
amatitlan,2026-02-02,CYA~NDWI,spearman,submuestra,1335,-0.565281595575398,1.4061313428815508e-113
amatitlan,2026-02-07,CYA~NDVI,pearson,completa,33460,0.10014199184058693,2.572829496428672e-75
amatitlan,2026-02-07,CYA~NDVI,pearson_log10,completa,33460,0.2719305151121332,0.0
amatitlan,2026-02-07,CYA~NDVI,spearman,completa,33460,0.32412846848323235,0.0
amatitlan,2026-02-07,CYA~NDVI,pearson,submuestra,1337,0.1256215325056748,4.07894706293965e-06
amatitlan,2026-02-07,CYA~NDVI,pearson_log10,submuestra,1337,0.23267344755477926,6.795774610048118e-18
amatitlan,2026-02-07,CYA~NDVI,spearman,submuestra,1337,0.280020456677738,1.6469614320826215e-25
amatitlan,2026-02-07,CYA~NDWI,pearson,completa,33460,-0.15241904832420358,4.786833087665623e-173
amatitlan,2026-02-07,CYA~NDWI,pearson_log10,completa,33460,-0.4140338754854328,0.0
amatitlan,2026-02-07,CYA~NDWI,spearman,completa,33460,-0.48830124462998725,0.0
amatitlan,2026-02-07,CYA~NDWI,pearson,submuestra,1337,-0.21639997218719684,1.2417151802564396e-15
amatitlan,2026-02-07,CYA~NDWI,pearson_log10,submuestra,1337,-0.36891150016665014,2.2959972057501556e-44
amatitlan,2026-02-07,CYA~NDWI,spearman,submuestra,1337,-0.44272149629928514,2.8134548875544908e-65
amatitlan,2026-03-29,CYA~NDVI,pearson,completa,35777,0.5316656371732346,0.0
amatitlan,2026-03-29,CYA~NDVI,pearson_log10,completa,35777,0.5854039100321534,0.0
amatitlan,2026-03-29,CYA~NDVI,spearman,completa,35777,0.6616446310782662,0.0
amatitlan,2026-03-29,CYA~NDVI,pearson,submuestra,1438,0.5132221370799289,1.9310717746841725e-97
amatitlan,2026-03-29,CYA~NDVI,pearson_log10,submuestra,1438,0.535629210502973,1.4331073310508906e-107
amatitlan,2026-03-29,CYA~NDVI,spearman,submuestra,1438,0.6341708592205063,1.2648179537225854e-162
amatitlan,2026-03-29,CYA~NDWI,pearson,completa,35777,-0.6624985257686251,0.0
amatitlan,2026-03-29,CYA~NDWI,pearson_log10,completa,35777,-0.7095539220094819,0.0
amatitlan,2026-03-29,CYA~NDWI,spearman,completa,35777,-0.7377380843416286,0.0
amatitlan,2026-03-29,CYA~NDWI,pearson,submuestra,1438,-0.6647824201021207,4.1641966454038934e-184
amatitlan,2026-03-29,CYA~NDWI,pearson_log10,submuestra,1438,-0.6898876381348292,9.926512058560478e-204
amatitlan,2026-03-29,CYA~NDWI,spearman,submuestra,1438,-0.7316276452376901,3.1827147163066084e-241
amatitlan,2026-04-13,CYA~NDVI,pearson,completa,36632,-0.11474575726260844,1.3658984455977166e-107
amatitlan,2026-04-13,CYA~NDVI,pearson_log10,completa,36632,-0.10257246697170963,3.0097306582284243e-86
amatitlan,2026-04-13,CYA~NDVI,spearman,completa,36632,-0.12450158725947637,1.8399306272720204e-126
amatitlan,2026-04-13,CYA~NDVI,pearson,submuestra,1470,-0.12547590814965864,1.3943523540227012e-06
amatitlan,2026-04-13,CYA~NDVI,pearson_log10,submuestra,1470,-0.11761132664641183,6.1504733585895815e-06
amatitlan,2026-04-13,CYA~NDVI,spearman,submuestra,1470,-0.1299598544135307,5.741533006558992e-07
amatitlan,2026-04-13,CYA~NDWI,pearson,completa,36632,-0.03028803681310825,6.7067475425502955e-09
amatitlan,2026-04-13,CYA~NDWI,pearson_log10,completa,36632,-0.07687946361449696,3.805473608749e-49
amatitlan,2026-04-13,CYA~NDWI,spearman,completa,36632,0.08490279629416957,1.395693131167476e-59
amatitlan,2026-04-13,CYA~NDWI,pearson,submuestra,1470,-0.006553858571655745,0.8017617890082354
amatitlan,2026-04-13,CYA~NDWI,pearson_log10,submuestra,1470,-0.053841420639421884,0.039012747418521926
amatitlan,2026-04-13,CYA~NDWI,spearman,submuestra,1470,0.09416989800012182,0.0002997755956967644
amatitlan,2026-04-28,CYA~NDVI,pearson,completa,29176,-0.39012698457887235,0.0
amatitlan,2026-04-28,CYA~NDVI,pearson_log10,completa,29176,-0.3368376873663711,0.0
amatitlan,2026-04-28,CYA~NDVI,spearman,completa,29176,-0.592918344833485,0.0
amatitlan,2026-04-28,CYA~NDVI,pearson,submuestra,1179,-0.44072520469707166,3.3361387920781857e-57
amatitlan,2026-04-28,CYA~NDVI,pearson_log10,submuestra,1179,-0.3522826046763217,8.925034181493024e-36
amatitlan,2026-04-28,CYA~NDVI,spearman,submuestra,1179,-0.6044416300441178,2.3769565404063896e-118
amatitlan,2026-04-28,CYA~NDWI,pearson,completa,29176,0.3505074185758034,0.0
amatitlan,2026-04-28,CYA~NDWI,pearson_log10,completa,29176,0.305898394640122,0.0
amatitlan,2026-04-28,CYA~NDWI,spearman,completa,29176,0.5540198549753622,0.0
amatitlan,2026-04-28,CYA~NDWI,pearson,submuestra,1179,0.4034347346390225,2.270623200221365e-47
amatitlan,2026-04-28,CYA~NDWI,pearson_log10,submuestra,1179,0.3206902794415148,1.3198136683498492e-29
amatitlan,2026-04-28,CYA~NDWI,spearman,submuestra,1179,0.5664958025343321,4.999230009886642e-101
amatitlan,2026-06-19,CYA~NDVI,pearson,completa,34483,0.43553332786566945,0.0
amatitlan,2026-06-19,CYA~NDVI,pearson_log10,completa,34483,0.6030889066939316,0.0
amatitlan,2026-06-19,CYA~NDVI,spearman,completa,34483,0.6346588931745171,0.0
amatitlan,2026-06-19,CYA~NDVI,pearson,submuestra,1373,0.47260466297943193,2.54240887870435e-77
amatitlan,2026-06-19,CYA~NDVI,pearson_log10,submuestra,1373,0.615831981331648,3.8747748745665157e-144
amatitlan,2026-06-19,CYA~NDVI,spearman,submuestra,1373,0.6290392751155549,3.868660803444025e-152
amatitlan,2026-06-19,CYA~NDWI,pearson,completa,34483,-0.5832286620435396,0.0
amatitlan,2026-06-19,CYA~NDWI,pearson_log10,completa,34483,-0.7155481079056708,0.0
amatitlan,2026-06-19,CYA~NDWI,spearman,completa,34483,-0.7632818722310656,0.0
amatitlan,2026-06-19,CYA~NDWI,pearson,submuestra,1373,-0.6229072245258116,2.2387087931594258e-148
amatitlan,2026-06-19,CYA~NDWI,pearson_log10,submuestra,1373,-0.7296862291886318,1.3872764716312198e-228
amatitlan,2026-06-19,CYA~NDWI,spearman,submuestra,1373,-0.7651656709947063,1.8961400880955692e-264
atitlan,2025-01-18,CYA~NDVI,pearson,completa,134693,-0.05376419357327991,8.708667050111402e-87
atitlan,2025-01-18,CYA~NDVI,pearson_log10,completa,134693,-0.720403768298582,0.0
atitlan,2025-01-18,CYA~NDVI,spearman,completa,134693,-0.8002090233804433,0.0
