lago,par,metodo,fechas,coeficiente_mediano,coeficiente_min,coeficiente_max,fechas_negativas,n_pixeles_mediano
amatitlan,CYA~NDVI,pearson,11,0.22107986853809108,-0.39012698457887235,0.5316656371732346,2,34563.0
amatitlan,CYA~NDVI,pearson_log10,11,0.33283621638682104,-0.3368376873663711,0.6079619258893247,2,34563.0
amatitlan,CYA~NDVI,spearman,11,0.32412846848323235,-0.592918344833485,0.6616446310782662,2,34563.0
amatitlan,CYA~NDWI,pearson,11,-0.29219103285689735,-0.6624985257686251,0.3505074185758034,10,34563.0
amatitlan,CYA~NDWI,pearson_log10,11,-0.4140338754854328,-0.7155481079056708,0.305898394640122,10,34563.0
amatitlan,CYA~NDWI,spearman,11,-0.48830124462998725,-0.7632818722310656,0.5540198549753622,9,34563.0
atitlan,CYA~NDVI,pearson,11,0.008338359761530138,-0.05376419357327991,0.09150541703721532,4,301570.0
atitlan,CYA~NDVI,pearson_log10,11,0.17951597894791554,-0.720403768298582,0.39637204685623556,4,301570.0
atitlan,CYA~NDVI,spearman,11,0.07790483745314454,-0.8002090233804433,0.41185295938712624,5,301570.0
atitlan,CYA~NDWI,pearson,11,-0.08357624266685731,-0.2555671434810214,-0.028241207186480183,11,301570.0
atitlan,CYA~NDWI,pearson_log10,11,-0.7297493747086408,-0.8725087288308802,-0.19313173766715777,11,301570.0
atitlan,CYA~NDWI,spearman,11,-0.77607889716956,-0.875060173316166,-0.1231027193503333,11,301570.0
