lago,fecha,zona,n_pixeles_validos,mediana_cya,p90_cya,porcentaje_alto
amatitlan,2025-01-28,noreste,1551,4.2413201332092285,23.75580596923828,4.577691811734365
amatitlan,2025-01-28,noroeste,16166,4.083620071411133,8.773574829101562,0.47012247927749595
amatitlan,2025-01-28,sureste,17314,8.933719635009766,13.947171211242676,0.06930807439066651
amatitlan,2025-01-28,suroeste,28,3.4758572578430176,6.579543113708496,0.0
amatitlan,2025-04-15,noreste,1657,80.38274383544922,123.77715301513672,93.84429692214846
amatitlan,2025-04-15,noroeste,16681,147.01034545898438,236.80618286132812,99.07679395719681
amatitlan,2025-04-15,sureste,17932,132.79017639160156,163.60806274414062,95.44947579745707
amatitlan,2025-04-15,suroeste,26,116.87669372558594,150.65390014648438,100.0
amatitlan,2025-04-28,noreste,1328,86.55825805664062,179.53414916992188,92.62048192771084
amatitlan,2025-04-28,noroeste,15854,119.36996459960938,312.7176513671875,97.4139018544216
amatitlan,2025-04-28,sureste,17880,153.80377197265625,220.8770294189453,97.08612975391499
amatitlan,2025-04-28,suroeste,23,92.90321350097656,112.71088409423828,95.65217391304348
amatitlan,2025-11-24,noreste,1649,7.232935905456543,28.33515167236328,7.519708914493632
amatitlan,2025-11-24,noroeste,16188,4.501899719238281,9.217676162719727,2.810723993081295
amatitlan,2025-11-24,sureste,16706,9.816543579101562,17.472614288330078,1.0714713276667065
amatitlan,2025-11-24,suroeste,20,6.138611793518066,10.585610389709473,0.0
amatitlan,2026-01-08,noreste,1674,13.934371948242188,21.996105194091797,0.23894862604540024
amatitlan,2026-01-08,noroeste,16680,13.269062042236328,19.652122497558594,0.5275779376498801
amatitlan,2026-01-08,sureste,15037,17.507570266723633,39.37876892089844,9.503225377402408
amatitlan,2026-01-08,suroeste,19,4.848001003265381,8.396541595458984,0.0
amatitlan,2026-02-02,noreste,1469,11.835344314575195,33.59440231323242,8.577263444520081
amatitlan,2026-02-02,noroeste,16547,10.16717529296875,26.922855377197266,4.852843415724905
amatitlan,2026-02-02,sureste,15333,13.343364715576172,26.704490661621094,0.9261070892845497
amatitlan,2026-02-02,suroeste,14,20.9805850982666,25.732519149780273,0.0
amatitlan,2026-02-07,noreste,1644,7.694385528564453,17.10888671875,7.238442822384428
